### MISTWAKE
# ZoneId: 1314

hideall "--Reset--"
hideall "--sync--"

# .*is no longer sealed
0.0 "--Reset--" SystemLogMessage { id: "7DE" } window 0,100000 jump 0

#~~~~~~~~~~~~~~~~~~#
# Treno Catoblepas #
#~~~~~~~~~~~~~~~~~~#

# ALL ENCOUNTER ABILITIES
# A93F Earthquake
# A940 Thunder
# A941 Thunder III
# A942 Bedeviling Light
# A943 Thunder II
# A944 Thunder II
# A945 Thunder II
# A946 Ray of Lightning
# A947 Petribreath
# AF19 Ray of Lightning

# The Shattered Lair will be sealed off
1000.0 "--sync--" SystemLogMessage { id: "7DC", param1: "14EA" } window 1000,1
1003.0 "Thunder" Ability { id: "A940", source: "Treno Catoblepas" }
1006.0 "Thunder" Ability { id: "A940", source: "Treno Catoblepas" }
1011.0 "Earthquake" Ability { id: "A93F", source: "Treno Catoblepas" }
1014.0 "Thunder" Ability { id: "A940", source: "Treno Catoblepas" }
1017.0 "Thunder" Ability { id: "A940", source: "Treno Catoblepas" }
1020.0 "Thunder II" Ability { id: "A943", source: "Treno Catoblepas" }
1022.0 "Thunder II" Ability { id: "A944", source: "Treno Catoblepas" }
1022.0 "Thunder II" Ability { id: "A945", source: "Treno Catoblepas" }
1023.0 "Thunder" Ability { id: "A940", source: "Treno Catoblepas" }
1026.0 "Thunder" Ability { id: "A940", source: "Treno Catoblepas" }
1033.0 "Bedeviling Light" Ability { id: "A942", source: "Treno Catoblepas" }
1040.0 "Earthquake" Ability { id: "A93F", source: "Treno Catoblepas" }
1041.0 "Thunder" Ability { id: "A940", source: "Treno Catoblepas" }
1048.0 "Thunder III" Ability { id: "A941", source: "Treno Catoblepas" }
1049.0 "Thunder" Ability { id: "A940", source: "Treno Catoblepas" }
1052.0 "Thunder" Ability { id: "A940", source: "Treno Catoblepas" }
1057.0 "Thunder II" Ability { id: "A943", source: "Treno Catoblepas" }
1058.0 "Thunder II" Ability { id: "A944", source: "Treno Catoblepas" }
1058.0 "Thunder II" Ability { id: "A945", source: "Treno Catoblepas" }
1059.0 "Thunder" Ability { id: "A940", source: "Treno Catoblepas" }
1062.0 "Thunder" Ability { id: "A940", source: "Treno Catoblepas" }
1070.0 "Bedeviling Light" Ability { id: "A942", source: "Treno Catoblepas" }
1072.0 "Thunder" Ability { id: "A940", source: "Treno Catoblepas" }
1078.0 "Ray of Lightning" Ability { id: "AF19", source: "Treno Catoblepas" }
1078.0 "Ray of Lightning" Ability { id: "A946", source: "Treno Catoblepas" }
1081.0 "Thunder" Ability { id: "A940", source: "Treno Catoblepas" }
1087.0 "Petribreath" Ability { id: "A947", source: "Treno Catoblepas" }
1090.0 "Thunder" Ability { id: "A940", source: "Treno Catoblepas" }
1093.0 "Thunder" Ability { id: "A940", source: "Treno Catoblepas" }
1096.0 "Thunder II" Ability { id: "A943", source: "Treno Catoblepas" }
1098.0 "Thunder II" Ability { id: "A944", source: "Treno Catoblepas" }
1098.0 "Thunder II" Ability { id: "A945", source: "Treno Catoblepas" }
1099.0 "Thunder" Ability { id: "A940", source: "Treno Catoblepas" }
1102.0 "Thunder" Ability { id: "A940", source: "Treno Catoblepas" }
